"",".id","perm_id","sample.x","distance","Replicate.x","IS__CONTROL.x","BD_min.x","BD_max.x","BD_range.x","perc_overlap","n_over_fracs","wmean_dist","wmean_dist_CI_low_global","wmean_dist_CI_high_global","wmean_dist_CI_low","wmean_dist_CI_high","Treatment","BD_shift","window"
"26","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC208",0.153410228862735,1,TRUE,1.801,1.807,0.00600000000000001,49.9999999999982,2,0.161539083618357,0.0879750065176298,0.123053585189763,0.102885195083652,0.10456363918509,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"27","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC207",0.16499444087558,1,TRUE,1.807,1.813,0.00600000000000001,66.6666666666667,1,0.16499444087558,0.0879750065176298,0.123053585189763,0.111933878145936,0.11397547560058,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"28","(Treatment=='15MC2' & TP=='240.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC215",0.0963487545808198,1,TRUE,1.746,1.757,0.0109999999999999,100,1,0.0963487545808198,0.119391122833079,0.158818517655907,0.157963582548256,0.159427671287667,"(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45')",FALSE,FALSE
"29","(Treatment=='15MC2' & TP=='240.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC214",0.108405689890035,1,TRUE,1.757,1.764,0.00700000000000012,100,1,0.108405689890035,0.119391122833079,0.158818517655907,0.143738651008894,0.145200092081129,"(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45')",FALSE,FALSE
"30","(Treatment=='15MC2' & TP=='240.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC213",0.155144621856341,1,TRUE,1.764,1.775,0.0109999999999999,36.3636363636367,2,0.137883549024142,0.119391122833079,0.158818517655907,0.144187118208454,0.145302891522663,"(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45')",FALSE,FALSE
"31","(Treatment=='15MC2' & TP=='240.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC212",0.140437573691949,1,TRUE,1.775,1.778,0.00300000000000011,100,1,0.140437573691949,0.119391122833079,0.158818517655907,0.129155690898779,0.130754601221761,"(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"32","(Treatment=='15MC2' & TP=='240.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC211",0.150102618899286,1,TRUE,1.778,1.785,0.0069999999999999,100,1,0.150102618899286,0.119391122833079,0.158818517655907,0.129603830264386,0.130864581556564,"(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"33","(Treatment=='15MC2' & TP=='240.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC210",0.176928930122896,1,TRUE,1.785,1.795,0.01,100,1,0.176928930122896,0.119391122833079,0.158818517655907,0.132265148353818,0.133448931201256,"(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"34","(Treatment=='15MC2' & TP=='240.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC209",0.174619738139399,1,TRUE,1.795,1.801,0.00600000000000001,100,1,0.174619738139399,0.119391122833079,0.158818517655907,0.119043250648065,0.120040251161857,"(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"35","(Treatment=='15MC2' & TP=='240.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC208",0.190714396834384,1,TRUE,1.801,1.807,0.00600000000000001,16.6666666666648,1,0.190714396834384,0.119391122833079,0.158818517655907,0.135183458291191,0.136184294405551,"(Treatment=='15MC2' & TP=='240.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"36","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC215",0.0840732397292066,1,TRUE,1.746,1.757,0.0109999999999999,63.6363636363633,2,0.0853904880781081,0.0159851686054862,0.0488320139788756,0.0421339033508433,0.0439782067297517,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"37","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC214",0.0774949284950957,1,TRUE,1.757,1.764,0.00700000000000012,100,1,0.0774949284950957,0.0159851686054862,0.0488320139788756,0.0287541306600844,0.0298032513355484,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"38","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC213",0.0671197971350086,1,TRUE,1.764,1.775,0.0109999999999999,36.3636363636367,2,0.075445987611066,0.0159851686054862,0.0488320139788756,0.0270611110801446,0.0286912186132847,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"39","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC212",0.0592316719843226,1,TRUE,1.775,1.778,0.00300000000000011,100,1,0.0592316719843226,0.0159851686054862,0.0488320139788756,0.0217908277973434,0.0234275680324272,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"40","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC211",0.0510770823008601,1,TRUE,1.778,1.785,0.0069999999999999,100,1,0.0510770823008601,0.0159851686054862,0.0488320139788756,0.0149648780347356,0.0165714384011248,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"41","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC210",0.0590158858315992,1,TRUE,1.785,1.795,0.01,100,1,0.0590158858315992,0.0159851686054862,0.0488320139788756,0.0223011767570739,0.0257571254586712,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"42","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC209",0.105425804647258,1,TRUE,1.795,1.801,0.00600000000000001,100,1,0.105425804647258,0.0159851686054862,0.0488320139788756,0.0379635442043248,0.0410658533302203,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"43","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC208",0.119495459473057,1,TRUE,1.801,1.807,0.00600000000000001,100,1,0.119495459473057,0.0159851686054862,0.0488320139788756,0.0298852942008572,0.0324517757279596,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"44","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC207",0.113567699848792,1,TRUE,1.807,1.813,0.00600000000000001,100,1,0.113567699848792,0.0159851686054862,0.0488320139788756,0.0332708798244939,0.0373887764346651,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"45","(Treatment=='9MC2' & TP=='24.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC206",0.0546465593842338,1,TRUE,1.813,1.82,0.0069999999999999,14.2857142857129,2,0.0689954841220736,0.0159851686054862,0.0488320139788756,0.048220096169067,0.0494985189073807,"(Treatment=='9MC2' & TP=='24.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
