"","MCP_9MC203","MCP_9MC204","MCP_9MC205","MCP_9MC206","MCP_9MC207","MCP_9MC208","MCP_9MC209","MCP_9MC210","MCP_9MC211","MCP_9MC212","MCP_9MC213","MCP_9MC214","MCP_9MC215","MCP_11MC206","MCP_11MC207","MCP_11MC208","MCP_11MC209","MCP_11MC210","MCP_11MC211","MCP_11MC212","MCP_11MC213","MCP_11MC214","MCP_12MC206","MCP_12MC207","MCP_12MC208","MCP_12MC209","MCP_12MC210","MCP_12MC211","MCP_12MC212","MCP_12MC213","MCP_12MC214","MCP_14MC205","MCP_14MC206","MCP_14MC207","MCP_14MC208","MCP_14MC209","MCP_14MC210","MCP_14MC211","MCP_14MC212","MCP_14MC213","MCP_14MC214","MCP_15MC206","MCP_15MC207","MCP_15MC208","MCP_15MC209","MCP_15MC210","MCP_15MC211","MCP_15MC212","MCP_15MC213","MCP_15MC214","MCP_5MC206","MCP_5MC207","MCP_5MC208","MCP_5MC209","MCP_5MC210","MCP_5MC211","MCP_5MC212","MCP_5MC213","MCP_5MC214","MCP_5MC215"
"0c579d21280801f02a641e1608606927",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,156,0,0,0,0,0,0,0,0,0
"a22c8ef72659b99e76dd5d4ec6b37843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0
"3501d03f4da902cab194448b80dbcb86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0
"520c7e89d0c7c72e7d85eed29aaedb70",0,17,7,0,5,12,22,30,69,111,93,111,68,7,3,13,24,21,36,40,31,78,0,4,0,0,14,20,33,42,83,0,0,0,11,9,17,45,48,29,19,0,0,0,0,10,0,6,11,0,0,67,127,139,56,43,15,31,6,20
"6310bd545c25bc818bce75d76bc259a1",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,4,0,12,8,15,11,0,0,10,30,21,53,92,146,122,78,0,0,7,7,7,0,8,3,0,0,0,4,8,0,0,0,0,0,0
"ed4897364210960229ae8b3074c5a6ed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0
"04ecfad5772d2e09a84a0f5ef460536c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"af27577de5edb10c09f7fc19b9ca45ca",0,255,0,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,82,86,0,0,0,10,11,0,0
"1583d8af9fd9cb078f88c0e1a8b8a888",245,2789,134,314,378,542,1354,4135,4125,5533,4192,3239,3150,224,591,904,2384,921,1827,2111,2765,2507,114,799,486,1183,1278,1443,2642,2556,2802,213,160,425,503,612,964,2031,2255,1513,1350,1053,1686,1526,1951,3127,3669,3283,2650,1298,1719,1768,2505,4192,1662,1010,653,1077,862,1531
"049d6834edf5433d53636cdf6b649099",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0,0,0,0
